dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.084510,18.182917,0.000800,0.080000,4.000000,200.000000,0.000000
0.020000,3.084510,18.182917,0.000800,0.000000,-4.000000,-400.000000,0.000000
0.020000,3.085635,18.182917,0.001925,0.056270,2.813478,340.673880,0.000000
0.020000,3.091235,18.182917,0.007525,0.280000,11.186522,418.652240,0.000000
0.020000,3.098435,18.182917,0.014725,0.360000,4.000000,-359.326120,0.000000
0.020000,3.107235,18.182917,0.023525,0.440000,4.000000,-0.000000,0.000000
0.020000,3.117635,18.182917,0.033925,0.520000,4.000000,0.000000,0.000000
0.020000,3.129635,18.182917,0.045925,0.600000,4.000000,-0.000000,0.000000
0.020000,3.143235,18.182917,0.059525,0.680000,4.000000,0.000000,0.000000
0.020000,3.158435,18.182917,0.074725,0.760000,4.000000,0.000000,0.000000
0.020000,3.175235,18.182917,0.091525,0.840000,4.000000,-0.000000,0.000000
0.020000,3.193635,18.182917,0.109925,0.920000,4.000000,0.000000,0.000000
0.020000,3.213635,18.182917,0.129925,1.000000,4.000000,-0.000000,0.000000
0.020000,3.235235,18.182917,0.151525,1.080000,4.000000,0.000000,0.000000
0.020000,3.258435,18.182917,0.174725,1.160000,4.000000,0.000000,0.000000
0.020000,3.283235,18.182917,0.199525,1.240000,4.000000,-0.000000,0.000000
0.020000,3.309635,18.182917,0.225925,1.320000,4.000000,0.000000,0.000000
0.020000,3.337635,18.182917,0.253925,1.400000,4.000000,0.000000,0.000000
0.020000,3.367235,18.182917,0.283525,1.480000,4.000000,-0.000000,0.000000
0.020000,3.398435,18.182917,0.314725,1.560000,4.000000,0.000000,0.000000
0.020000,3.431235,18.182917,0.347525,1.640000,4.000000,-0.000000,0.000000
0.020000,3.465635,18.182917,0.381925,1.720000,4.000000,0.000000,0.000000
0.020000,3.501635,18.182917,0.417925,1.800000,4.000000,-0.000000,0.000000
0.020000,3.539235,18.182917,0.455525,1.880000,4.000000,0.000000,0.000000
0.020000,3.578435,18.182917,0.494725,1.960000,4.000000,0.000000,0.000000
0.020000,3.619235,18.182917,0.535525,2.040000,4.000000,0.000000,0.000000
0.020000,3.661635,18.182917,0.577925,2.120000,4.000000,0.000000,0.000000
0.020000,3.705635,18.182917,0.621925,2.200000,4.000000,-0.000000,0.000000
0.020000,3.751235,18.182917,0.667525,2.280000,4.000000,0.000000,0.000000
0.020000,3.798435,18.182917,0.714725,2.360000,4.000000,0.000000,0.000000
0.020000,3.847235,18.182917,0.763525,2.440000,4.000000,0.000000,0.000000
0.020000,3.897635,18.182917,0.813925,2.520000,4.000000,0.000000,0.000000
0.020000,3.949635,18.182917,0.865925,2.600000,4.000000,-0.000000,0.000000
0.020000,4.003235,18.182917,0.919525,2.680000,4.000000,0.000000,0.000000
0.020000,4.058435,18.182917,0.974725,2.760000,4.000000,-0.000000,0.000000
0.020000,4.115235,18.182917,1.031525,2.840000,4.000000,0.000000,0.000000
0.020000,4.173635,18.182917,1.089925,2.920000,4.000000,-0.000000,0.000000
0.020000,4.233635,18.182917,1.149925,3.000000,4.000000,0.000000,0.000000
0.020000,4.295235,18.182917,1.211525,3.080000,4.000000,-0.000000,0.000000
0.020000,4.358435,18.182917,1.274725,3.160000,4.000000,-0.000000,0.000000
0.020000,4.423235,18.182917,1.339525,3.240000,4.000000,0.000000,0.000000
0.020000,4.489635,18.182917,1.405925,3.320000,4.000000,0.000000,0.000000
0.020000,4.557635,18.182917,1.473925,3.400000,4.000000,-0.000000,0.000000
0.020000,4.627235,18.182917,1.543525,3.480000,4.000000,0.000000,0.000000
0.020000,4.698435,18.182917,1.614725,3.560000,4.000000,0.000000,0.000000
0.020000,4.771235,18.182917,1.687525,3.640000,4.000000,-0.000000,0.000000
0.020000,4.845635,18.182917,1.761925,3.720000,4.000000,0.000000,0.000000
0.020000,4.921635,18.182917,1.837925,3.800000,4.000000,-0.000000,0.000000
0.020000,4.999235,18.182917,1.915525,3.880000,4.000000,0.000000,0.000000
0.020000,5.078435,18.182917,1.994725,3.960000,4.000000,-0.000000,0.000000
0.020000,5.159235,18.182917,2.075525,4.040000,4.000000,-0.000000,0.000000
0.020000,5.241635,18.182917,2.157925,4.120000,4.000000,0.000000,0.000000
0.020000,5.325635,18.182917,2.241925,4.200000,4.000000,0.000000,0.000000
0.020000,5.411235,18.182917,2.327525,4.280000,4.000000,-0.000000,0.000000
0.020000,5.498435,18.182917,2.414725,4.360000,4.000000,0.000000,0.000000
0.020000,5.587235,18.182917,2.503525,4.440000,4.000000,-0.000000,0.000000
0.020000,5.677635,18.182917,2.593925,4.520000,4.000000,0.000000,0.000000
0.020000,5.769635,18.182917,2.685925,4.600000,4.000000,0.000000,0.000000
0.020000,5.863235,18.182917,2.779525,4.680000,4.000000,-0.000000,0.000000
0.020000,5.958435,18.182917,2.874725,4.760000,4.000000,0.000000,0.000000
